date,ticker,open,high,low,close,adj_close,volume,sector,is_benchmark,ret_5d,ret_10d,ret_20d,ret_60d,ma_20,ma_50,ma_20_prev,ma_50_prev,low_10,high_10,high_20,atr_14,atr_pct,high_252,distance_from_52w_high,volume_ratio_20d,extension_vs_ma20,extension_vs_ma50,close_above_ma20,days_above_ma20_15,benchmark_close,benchmark_ma_20,benchmark_ma_50,benchmark_ret_5d,benchmark_ret_10d,benchmark_ret_20d,benchmark_ret_60d,qqq_close,qqq_ma_20,qqq_ma_50,qqq_ma_20_prev,rs_5d,rs_10d,rs_20d,rs_60d,ma_20_slope_5d,ma_50_slope_5d,spy_above_ma20,spy_above_ma50,qqq_above_ma20,qqq_above_ma50,qqq_ma20_slope_5d,sector_close,sector_ret_10d,sector_ret_20d,sector_ret_60d,sector_ma_20,sector_ma_50,stock_vs_sector_20d,stock_vs_sector_60d,sector_above_ma20,sector_above_ma50,trend_score,momentum_score,rs_score,proximity_score,risk_penalty,extension_penalty,refined_score,next_earnings_date,days_to_earnings,event_risk,strategy_id,strategy_name,basis_type,sleeve,action_label,horizon,entry_label,entry_value,stop_label,stop_value,target_label,target_value,strategy_rationale,observed_reason,action_rank
2026-05-22,AAPL,306.1199951171875,311.3999938964844,305.8399963378906,308.82000732421875,308.82000732421875,43627900.0,Information Technology,False,0.028611384683597807,0.05284330974009288,0.13930498821561677,0.13141598649198927,289.3459991455078,270.551799621582,281.54649963378904,266.18919921875,290.2300109863281,311.3999938964844,311.3999938964844,5.7435760498046875,0.01859845836922968,308.82000732421875,0.0,0.9014519695442097,0.06730353361104457,0.14144503106673875,1,15.0,745.6400146484375,731.5839996337891,696.6752001953125,0.008753104005669199,0.010872833687183059,0.044401507267598284,0.08173513398115784,717.5399780273438,694.9119995117187,642.104599609375,680.3579956054688,0.019858280677928608,0.04197047605290982,0.09490348094801848,0.04968085251083143,0.027702349423145645,0.01638909623544449,1,1,1,1,0.021391684966233004,180.38999938964844,0.027746097303118722,0.12588938968463204,0.27927101919646846,170.5620018005371,153.51660034179687,0.01341559853098473,-0.1478550327044792,1.0,1.0,3,2,2,1,0,1,7,2026-07-30,69.0,Low,extended-strength-wait,"Extended strength, wait for pullback",Setup family,Single-name sleeve,Wait for pullback,Wait this week,Only buy near,$289,Cancel if close <,$284,If trend resets,$315,"A strong stock can still be a bad immediate buy if the entry is too extended above support, even in a supportive tape.","The stock is acting well, but it has already run far enough above the 20-day average that patience matters more than enthusiasm.",2
2026-05-22,ABBV,217.0,220.0099945068359,215.6999969482422,215.6999969482422,215.6999969482422,5406100.0,Health Care,False,0.025238830619318087,0.0702058728962196,0.08550143254154152,-0.040010705396242296,207.32050170898438,208.31399963378905,204.48650207519532,209.75299926757813,202.0099945068359,220.0099945068359,220.0099945068359,4.918571472167964,0.02280283514954425,244.3800048828125,0.1173582427429905,0.875362703696987,0.040418073322145906,0.03545607749569179,1,11.0,745.6400146484375,731.5839996337891,696.6752001953125,0.008753104005669199,0.010872833687183059,0.044401507267598284,0.08173513398115784,717.5399780273438,694.9119995117187,642.104599609375,680.3579956054688,0.016485726613648888,0.05933303920903654,0.04109992527394324,-0.12174583937740013,0.013859103681801654,-0.006860448426548427,1,1,1,1,0.021391684966233004,149.88999938964844,0.04460236707419507,0.03960332226335539,-0.04783381315514679,145.52350158691405,146.38080078125,0.04589811027818613,0.00782310775890449,1.0,1.0,2,2,2,0,0,0,6,2026-07-30,69.0,Low,trend-hold,Trend hold / monitor,Decision basis,Single-name sleeve,Hold,1-2 weeks,Keep only if close >,$205,Do not add,Yet,Need first,Cleaner catalyst,"The stock is still functioning, but the timing case for fresh money is not strong enough yet.","Price is above near-term support, though the edge for a new position remains modest.",4
2026-05-22,ABT,87.91999816894531,88.83999633789062,87.05000305175781,87.41000366210938,87.41000366210938,9516400.0,Health Care,False,0.034805284703673944,0.03664615723990372,-0.040820736348360365,-0.24815067902988186,87.5490005493164,96.06460006713867,88.73600044250489,98.2818000793457,81.97000122070312,89.33999633789062,94.79000091552734,2.1199983869280135,0.02425349843392117,138.0800018310547,0.3669611637964901,0.7444504940890799,-0.001587646761641001,-0.09009142180346014,0,3.0,745.6400146484375,731.5839996337891,696.6752001953125,0.008753104005669199,0.010872833687183059,0.044401507267598284,0.08173513398115784,717.5399780273438,694.9119995117187,642.104599609375,680.3579956054688,0.026052180698004745,0.02577332355272066,-0.08522224361595865,-0.3298858130110397,-0.013376756753394448,-0.022559619486181792,1,1,1,1,0.021391684966233004,149.88999938964844,0.04460236707419507,0.03960332226335539,-0.04783381315514679,145.52350158691405,146.38080078125,-0.08042405861171575,-0.20031686587473507,1.0,1.0,0,1,0,0,0,0,1,2026-07-16,55.0,Low,no-action,No actionable setup,Decision basis,Single-name sleeve,No action,Wait this week,Stand aside,No fresh entry,Reassess if close <,$86,Need first,Cleaner setup,"The chart is missing either strong relative strength, clean support, or acceptable timing.",Setup quality is not yet strong enough to justify fresh capital.,6
2026-05-22,ACN,179.00999450683594,182.6999969482422,177.1699981689453,179.24000549316406,179.24000549316406,3450300.0,Information Technology,False,0.0617225311981755,-0.006540254338525786,0.004933869027815119,-0.13569292471349859,175.65400161743165,186.7066000366211,177.93100128173828,189.3633999633789,155.82000732421875,184.7899932861328,184.7899932861328,7.863570077078683,0.043871735305088394,320.9200134277344,0.44148074911655266,0.5986232861560883,0.020415156174708782,-0.03999105838782624,1,5.0,745.6400146484375,731.5839996337891,696.6752001953125,0.008753104005669199,0.010872833687183059,0.044401507267598284,0.08173513398115784,717.5399780273438,694.9119995117187,642.104599609375,680.3579956054688,0.0529694271925063,-0.017413088025708845,-0.039467638239783165,-0.21742805869465642,-0.01279709352447922,-0.01403016595219353,1,1,1,1,0.021391684966233004,180.38999938964844,0.027746097303118722,0.12588938968463204,0.27927101919646846,170.5620018005371,153.51660034179687,-0.12095552065681692,-0.41496394390996705,1.0,1.0,1,2,0,0,0,0,3,2026-06-18,27.0,Low,no-action,No actionable setup,Decision basis,Single-name sleeve,No action,Wait this week,Stand aside,No fresh entry,Reassess if close <,$172,Need first,Cleaner setup,"The chart is missing either strong relative strength, clean support, or acceptable timing.",Setup quality is not yet strong enough to justify fresh capital.,6
2026-05-22,ADBE,245.88999938964844,249.77000427246097,242.7100067138672,244.7599945068359,244.7599945068359,3779300.0,Information Technology,False,-0.011470159639222044,-0.03272209531690129,-0.0027705668505796366,-0.05512667374549429,247.6355010986328,244.89160064697265,246.8010009765625,247.52800048828124,231.7400054931641,265.0899963378906,265.0899963378906,9.316429138183592,0.03806352895600916,416.9200134277344,0.4129329688576807,0.834748766971399,-0.011611851204854438,-0.0005374056921064358,0,9.0,745.6400146484375,731.5839996337891,696.6752001953125,0.008753104005669199,0.010872833687183059,0.044401507267598284,0.08173513398115784,717.5399780273438,694.9119995117187,642.104599609375,680.3579956054688,-0.020223263644891243,-0.04359492900408435,-0.04717207411817792,-0.13686180772665213,0.003381267169777491,-0.010650915597863464,1,1,1,1,0.021391684966233004,180.38999938964844,0.027746097303118722,0.12588938968463204,0.27927101919646846,170.5620018005371,153.51660034179687,-0.12865995653521167,-0.33439769294196275,1.0,1.0,1,0,0,0,0,0,1,2026-06-11,20.0,Low,no-action,No actionable setup,Decision basis,Single-name sleeve,No action,Wait this week,Stand aside,No fresh entry,Reassess if close <,$238,Need first,Cleaner setup,"The chart is missing either strong relative strength, clean support, or acceptable timing.",Setup quality is not yet strong enough to justify fresh capital.,6
2026-05-22,AMAT,434.3500061035156,438.1300048828125,430.2900085449219,432.1600036621094,432.1600036621094,4889300.0,Information Technology,False,-0.010214812663082662,-0.007532607847020811,0.03625550260739274,0.15021825364110075,416.22449798583983,388.9843988037109,411.4009979248047,380.80539855957034,397.3699951171875,448.4500122070313,448.4500122070313,20.043574741908497,0.04637998558880951,443.6199951171875,0.025832901089255077,0.6321985103063757,0.03828584274444047,0.11099572371329398,1,13.0,745.6400146484375,731.5839996337891,696.6752001953125,0.008753104005669199,0.010872833687183059,0.044401507267598284,0.08173513398115784,717.5399780273438,694.9119995117187,642.104599609375,680.3579956054688,-0.01896791666875186,-0.01840544153420387,-0.008146004660205541,0.06848311965994291,0.01172457063878296,0.021478162534140477,1,1,1,1,0.021391684966233004,180.38999938964844,0.027746097303118722,0.12588938968463204,0.27927101919646846,170.5620018005371,153.51660034179687,-0.0896338870772393,-0.1290527655553677,1.0,1.0,3,1,0,1,0,0,5,2026-08-13,83.0,Low,trend-hold,Trend hold / monitor,Decision basis,Single-name sleeve,Hold,1-2 weeks,Keep only if close >,$406,Do not add,Yet,Need first,Cleaner catalyst,"The stock is still functioning, but the timing case for fresh money is not strong enough yet.","Price is above near-term support, though the edge for a new position remains modest.",4
2026-05-22,AMD,469.8399963378906,481.4100036621094,461.7099914550781,467.510009765625,467.510009765625,34661300.0,Information Technology,False,0.10235794161133249,0.027065636894792355,0.3441534546081184,1.2953163127308707,405.89600067138673,303.1888003540039,371.71200103759764,279.2126007080078,393.3599853515625,481.4100036621094,481.4100036621094,30.994293212890625,0.06629653390400962,467.510009765625,0.0,0.8176681408596399,0.1517975269338043,0.5419765150287851,1,15.0,745.6400146484375,731.5839996337891,696.6752001953125,0.008753104005669199,0.010872833687183059,0.044401507267598284,0.08173513398115784,717.5399780273438,694.9119995117187,642.104599609375,680.3579956054688,0.0936048376056633,0.016192803207609296,0.29975194734052013,1.2135811787497128,0.09196366955698987,0.0858707650915429,1,1,1,1,0.021391684966233004,180.38999938964844,0.027746097303118722,0.12588938968463204,0.27927101919646846,170.5620018005371,153.51660034179687,0.21826406492348638,1.0160452935344022,1.0,1.0,3,2,2,1,1,1,6,2026-08-04,74.0,Low,wait-for-confirmation,Breakout confirmation,Setup family,Single-name sleeve,Wait for confirmation,Wait this week,Only buy above,$481,Cancel if close <,$375,If breakout sticks,$519,"Breakouts should be treated as continuation with proof, not as magical pattern names. We would rather pay a little higher after confirmation than buy before leadership and sector context are clear enough.","Trend is intact, but the setup has not yet earned a pullback entry or a clean high-confidence continuation signal.",3
2026-05-22,AMGN,340.260009765625,343.79998779296875,338.3999938964844,339.29998779296875,339.29998779296875,1566200.0,Health Care,False,0.03980874117116939,0.022912195677562863,-0.015237266538969063,-0.10552816860332981,333.37400207519534,343.8638006591797,336.90800018310546,347.9424005126953,320.9700012207031,343.79998779296875,349.5400085449219,7.037859235491071,0.020742291449139024,388.1600036621094,0.12587596714800356,0.5613579830968953,0.017775788396471176,-0.013272152687960148,1,2.0,745.6400146484375,731.5839996337891,696.6752001953125,0.008753104005669199,0.010872833687183059,0.044401507267598284,0.08173513398115784,717.5399780273438,694.9119995117187,642.104599609375,680.3579956054688,0.031055637165500194,0.012039361990379804,-0.05963877380656735,-0.18726330258448765,-0.010489504867766342,-0.011722054706485352,1,1,1,1,0.021391684966233004,149.88999938964844,0.04460236707419507,0.03960332226335539,-0.04783381315514679,145.52350158691405,146.38080078125,-0.05484058880232445,-0.05769435544818302,1.0,1.0,1,1,0,0,0,0,2,2026-08-04,74.0,Low,no-action,No actionable setup,Decision basis,Single-name sleeve,No action,Wait this week,Stand aside,No fresh entry,Reassess if close <,$330,Need first,Cleaner setup,"The chart is missing either strong relative strength, clean support, or acceptable timing.",Setup quality is not yet strong enough to justify fresh capital.,6
2026-05-22,AMT,185.02000427246097,185.05999755859375,181.6199951171875,183.8500061035156,183.8500061035156,2069900.0,Real Estate,False,0.07747758801145488,0.041466081543287236,0.0316480510474586,-0.00626986885985481,178.74450149536133,177.6090008544922,177.64550094604493,177.85160064697266,167.3699951171875,185.05999755859375,185.05999755859375,4.565716334751676,0.024833919952012284,232.3500061035156,0.2087368139701812,0.6931853573425941,0.028563142169085173,0.03513901445871205,1,8.0,745.6400146484375,731.5839996337891,696.6752001953125,0.008753104005669199,0.010872833687183059,0.044401507267598284,0.08173513398115784,717.5399780273438,694.9119995117187,642.104599609375,680.3579956054688,0.06872448400578568,0.030593247856104178,-0.01275345622013968,-0.08800500284101265,0.006186481185640469,-0.0013640574029019081,1,1,1,1,0.021391684966233004,,,,,,,,,0.0,0.0,3,2,0,0,0,0,5,2026-07-28,67.0,Low,trend-hold,Trend hold / monitor,Decision basis,Single-name sleeve,Hold,1-2 weeks,Keep only if close >,$176,Do not add,Yet,Need first,Cleaner catalyst,"The stock is still functioning, but the timing case for fresh money is not strong enough yet.","Price is above near-term support, though the edge for a new position remains modest.",4
2026-05-22,AMZN,268.6600036621094,269.7900085449219,266.239990234375,266.32000732421875,266.32000732421875,27470500.0,Consumer Discretionary,False,0.008253170874858773,-0.023323989740327455,0.008826156960629827,0.28087730699103086,267.09550018310546,241.9235998535156,264.5270004272461,236.70800018310547,255.19000244140625,273.6300048828125,278.55999755859375,6.121425083705357,0.02298522422407835,274.989990234375,0.03152835818775364,0.6263163918630966,-0.0029034291418428004,0.10084343770295716,0,10.0,745.6400146484375,731.5839996337891,696.6752001953125,0.008753104005669199,0.010872833687183059,0.044401507267598284,0.08173513398115784,717.5399780273438,694.9119995117187,642.104599609375,680.3579956054688,-0.000499933130810426,-0.034196823427510514,-0.035575350306968456,0.19914217300987302,0.009709782939778977,0.022033896895650384,1,1,1,1,0.021391684966233004,119.18000030517578,-0.008485829192704797,0.00412838363544088,0.018197327619685177,118.15799942016602,114.7816000366211,0.0046977733251889475,0.2626799793713457,1.0,1.0,2,2,0,1,0,0,5,2026-07-30,69.0,Low,no-action,No actionable setup,Decision basis,Single-name sleeve,No action,Wait this week,Stand aside,No fresh entry,Reassess if close <,$242,Need first,Cleaner setup,"The chart is missing either strong relative strength, clean support, or acceptable timing.",Setup quality is not yet strong enough to justify fresh capital.,6
